IV-21-pin,Board trace,max6921 pin,max6921 signal,IV-18 pin,,1v-21 Plate designations,
plate1,G,19,out7,12,,D,
plate2,B,18,out8,10,C,,B
plate3,F,17,out9,4,,A,
plate4,A,6,out16,3,H,,G
plate5,DP,22,out4,5,,F,
plate6,D,23,out3,11,,,E (This is the dot)
plate7,C,21,out5,9,,,
plate8,E,20,out6,2,,,
,,,,,,,
Grid1,G1,7,out15,15,,,
grid2,G2,25,out1,22,,,
grid3,G3,9,out13,16,,,
grid4,G4,24,out2,21,,,
grid5,G5,8,out14,17,,,
grid6,G6,26,out0,20,,,
grid7,G7,10,out12,19,,,
grid8,G8,11,out11,18,,,
grid9,G9,12,out10,14,,,
,,,,,,,
Field 1,F1,,,1,,,
Field 2,F2,,,13,,,
